time,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51,feat_52,feat_53,feat_54,feat_55,feat_56,feat_57,feat_58,feat_59,feat_60,feat_61,feat_62,feat_63,feat_64,feat_65,feat_66,feat_67,feat_68,feat_69,feat_70,feat_71,feat_72,feat_73,feat_74,feat_75,feat_76,feat_77,feat_78,feat_79,feat_80,feat_81,feat_82,feat_83,feat_84,feat_85,feat_86,feat_87,feat_88,feat_89,feat_90,feat_91,feat_92,feat_93,target
2358379,0,0,0,0,0,0,0,2,0,0,2,0,0,5,0,0,1,0,0,2,0,1,0,3,0,0,1,0,0,0,0,3,0,0,0,0,2,2,28,1,0,3,0,1,14,0,0,2,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,1,1,1,5,0,0,1,0,0,0,2,1,1,0,0,6,0,0,0,0,0,0,0,3,0,2,0,1,0,1,Class_4
2682010,0,0,0,1,1,0,0,1,0,0,0,0,0,0,19,4,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,3,0,0,2,0,2,0,0,5,0,13,0,1,0,0,0,0,1,0,0,0,0,0,4,1,0,0,1,0,0,0,0,Class_2
2717649,0,0,0,0,0,0,0,0,18,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class_2
3068311,0,0,0,0,1,0,0,3,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,2,0,1,2,0,0,1,0,1,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,17,1,0,0,3,0,0,0,0,Class_2
3267920,0,0,1,1,0,0,0,0,1,0,0,0,0,3,1,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,Class_4
3540591,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,1,0,0,0,0,Class_2
3694243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Class_2
3703270,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,Class_4
3813227,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,Class_2
3832521,0,0,0,0,0,0,0,0,0,1,1,1,0,7,1,0,0,0,0,1,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,12,0,0,0,0,0,Class_2
3913586,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class_5
3922907,0,0,0,0,0,0,0,0,19,0,0,0,0,2,3,2,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,9,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,4,1,7,0,0,7,0,0,1,0,4,0,1,1,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,Class_2
4051637,0,1,0,1,0,0,0,0,20,0,0,0,0,0,0,2,0,0,0,2,0,1,0,6,1,0,0,0,0,0,0,10,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,22,0,2,4,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,2,1,0,3,1,0,0,Class_2
4306537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Class_3
4357779,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,7,1,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,1,1,9,0,0,5,0,0,2,0,1,0,2,0,0,1,3,0,2,0,0,1,0,0,0,0,1,1,2,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,Class_2
4365063,0,0,0,0,0,0,0,10,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,1,2,0,5,0,0,0,1,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,1,0,3,0,0,0,0,Class_5
4522057,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,10,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class_5
4691564,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,2,0,2,0,2,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,1,0,3,1,4,0,0,1,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,2,Class_4
4698947,0,1,0,0,0,0,7,1,0,0,1,0,0,2,0,0,1,0,0,2,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,2,1,23,1,0,0,0,2,10,0,0,2,2,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,5,0,0,0,0,0,0,0,0,9,0,2,3,0,0,0,7,0,0,0,1,0,0,0,3,0,0,Class_4
4737147,5,0,0,0,0,0,0,0,0,0,0,0,0,15,1,7,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,0,1,0,0,0,13,0,1,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,3,0,1,0,1,1,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,Class_2
4827779,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,1,2,0,0,0,0,0,3,0,0,0,2,0,0,18,0,0,0,0,0,1,0,0,1,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,Class_4
4914241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,3,0,0,2,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Class_1
5042000,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Class_2
5103598,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,7,0,1,0,0,1,3,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,7,3,0,0,0,0,0,0,5,0,0,0,1,1,0,0,1,1,4,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,Class_2
5172677,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,1,16,0,0,0,1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Class_3
5334303,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,Class_2
5440918,7,2,0,0,0,0,0,0,4,0,0,0,1,0,0,7,0,8,0,1,0,8,0,0,8,0,0,0,1,0,1,5,0,0,0,1,0,1,0,7,1,5,0,1,0,0,0,3,0,0,0,0,1,1,2,0,0,0,14,0,0,12,0,0,1,9,6,0,0,2,0,4,0,0,0,0,2,0,2,0,0,0,0,0,0,1,4,3,0,2,0,0,0,Class_5
5604769,1,0,1,0,0,0,0,1,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,2,16,0,0,0,0,0,0,1,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Class_3
5698267,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Class_2
5738756,8,0,1,2,0,0,1,1,0,0,0,1,23,1,2,3,1,4,0,4,0,1,0,6,5,0,0,1,2,1,0,1,3,0,0,4,1,2,0,0,2,0,0,9,0,1,3,6,1,4,0,0,7,13,2,0,0,0,50,3,0,5,4,2,3,1,37,1,3,16,0,0,0,1,0,0,2,0,5,0,0,0,0,0,1,5,1,3,0,2,0,0,1,Class_5
5739061,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,6,0,0,0,1,0,2,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Class_2
5760353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Class_3
5893479,0,0,1,0,0,0,0,0,0,0,0,1,0,1,5,2,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0,1,0,0,0,0,0,Class_2
5946195,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,4,0,0,4,1,0,2,0,3,1,0,0,0,0,0,0,7,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,13,0,0,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Class_2
5986088,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,8,1,0,0,1,1,0,0,2,0,0,0,1,0,1,5,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,Class_2
6112046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Class_4
6171465,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class_3
6225340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Class_5
6232932,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,Class_5
6258301,5,0,1,0,0,0,0,0,0,0,0,0,0,14,1,3,0,0,0,0,0,2,0,0,9,0,0,0,0,0,0,0,0,0,1,1,0,1,0,19,0,0,1,2,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,Class_2
6378666,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class_3
6449779,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,2,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,12,0,0,0,1,0,1,2,1,8,0,4,0,0,0,0,3,0,0,0,2,0,0,1,22,0,0,Class_5
6497931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Class_2
6530556,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class_1
6661923,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,1,0,16,1,0,0,0,0,1,0,0,0,1,0,0,0,4,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,1,0,0,5,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class_3
6680040,0,1,2,0,1,0,0,1,0,1,0,0,0,8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,1,0,1,0,0,0,1,0,5,1,0,0,0,0,0,0,0,2,0,2,0,12,0,0,0,0,0,1,1,1,1,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,1,1,0,0,0,0,Class_2
6778715,0,0,0,0,3,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2,2,1,0,0,0,0,0,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Class_2
